gene,importance
TNXB,0.00017362415886750017
ADAM12,0.00017092090501169647
LINC00861,0.00017078695260646816
MRPS30-DT,0.00016969120511335512
CFI,0.00016934425874120724
CHRDL1,0.00016882799472890277
TNS1,0.00016850646592766455
CD109,0.0001679490008632408
KRT14,0.00016773821603625655
FBLIM1,0.00016692151241610027
RAMP3,0.00016530251545092964
UTRN,0.0001652173746356714
DNM3OS,0.0001647834017595196
HLX,0.00016429932164196468
SEMA6B,0.00016422552960874197
LY96,0.00016417324118710405
GSDMB,0.00016415979902234776
C11orf24,0.00016395843532339977
CCDC88B,0.00016383297689362726
FCGR3B,0.00016379260565495496
GMPPB,0.00016318899349258874
DGCR8,0.00016046144942164216
CALCRL,0.0001601059588621008
KMT2E,0.0001599086372846692
KCNJ8,0.00015889353585822168
MOV10,0.00015823744412772958
KLHDC4,0.0001582281311085769
SAA1,0.0001580022370856166
GEM,0.00015794985162567902
SEC31B,0.00015786857384607914
FOSL2,0.00015781718503231636
SHROOM1,0.00015683708689036996
KRT15,0.00015602249904123308
THBS4,0.0001559408856856295
DDR2,0.00015549876758029005
DCHS1,0.00015443123730249594
CDKN1C,0.00015409789938169167
FNDC3A,0.00015408931340772647
NAA25,0.00015204779253246721
SOX18,0.00015158592433495464
FAM133B,0.00015131042426564647
TCN2,0.00015073012151740585
C1orf54,0.00015016152592692506
CCSER2,0.0001493126947399177
BMP1,0.00014848328830414467
GGT6,0.00014802487640542235
POLG,0.00014738871062319454
COL11A1,0.0001472567682932984
CX3CL1,0.00014721918269708766
MIR205HG,0.0001461972557574844
PTGER4,0.00014490803957088998
GPC3,0.0001436316437302713
TINAGL1,0.0001426761663645779
CCNO,0.00014187334614920873
EMILIN2,0.00014179428210514476
ZNF292,0.00014141751473408074
IL6R,0.0001406211167289793
FSTL3,0.00014024925918819465
TTLL3,0.000139673590903158
CCR1,0.0001396463159321601
ABI3BP,0.00013944123199662213
MMRN2,0.00013942966507395673
CCL21,0.000138585151364336
ZBTB17,0.00013806826162374714
FRMD8,0.00013774280469728493
USP53,0.0001375559686162306
RGS5,0.00013721920245221957
THUMPD1,0.00013719586207076084
CWF19L2,0.00013695821171326247
RMND1,0.00013693262591046697
KANK2,0.00013673770076928822
CEACAM6,0.00013628087282099494
